11:56 am | Input click handler | username : 

11:56 am | Text change handler | username : informatica2

11:56 am | Input click handler | SUBMIT_F1 : Iniciar sesión

11:58 am | Menu navigation handler | URL : recovery.php

11:58 am | Input click handler | REQUESTACC : Más información

11:58 am | Window event | Close

11:59 am | Input click handler | username : 

11:59 am | Text change handler | username : informatica2

11:59 am | Input click handler | password : 

11:59 am | Input click handler | SUBMIT_F1 : Iniciar sesión

12:00 pm | Input click handler | username : 

12:31 pm | Window event | Close

1:03 pm | Input click handler | username : 

1:03 pm | Text change handler | username : informatica2

1:03 pm | Input click handler | SUBMIT_F1 : Iniciar sesión

1:10 pm | Window event | Close
